law.nju.com.	14400	IN	SOA	ns1.law.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
law.nju.com.		    IN	NS ns1.law.nju.com.
htouiqrl.law.nju.com.    IN    A    232.134.158.200
ajgimldk.law.nju.com.    IN    A    155.19.167.184
ncymefub.law.nju.com.    IN    A    211.45.7.13
mqegufyh.law.nju.com.    IN    A    92.230.80.243
nrlmtjyh.law.nju.com.    IN    A    74.30.50.8
mrogqnec.law.nju.com.    IN    A    107.218.95.12
joidfahx.law.nju.com.    IN    A    133.121.230.199
tbgupkih.law.nju.com.    IN    A    217.204.14.151
uwpgcibf.law.nju.com.    IN    A    43.215.252.230
aneqstwm.law.nju.com.    IN    A    131.3.120.210
evwjabqx.law.nju.com.    IN    A    41.114.47.102
ntsmcbhx.law.nju.com.    IN    A    184.136.192.200
umabicyj.law.nju.com.    IN    A    125.37.99.131
bpfhuvyd.law.nju.com.    IN    A    111.208.105.21
oynpejab.law.nju.com.    IN    A    140.204.132.228
nijmrduk.law.nju.com.    IN    A    210.88.214.151
fgrthplk.law.nju.com.    IN    A    6.79.123.16
mjsbogfp.law.nju.com.    IN    A    100.234.58.222
opfglxcn.law.nju.com.    IN    A    193.193.104.132
snqyvrab.law.nju.com.    IN    A    176.193.254.188
rbcymdjk.law.nju.com.    IN    A    248.8.228.173
tyakecbm.law.nju.com.    IN    A    77.10.24.19
astigcdw.law.nju.com.    IN    A    226.240.20.4
eoakdtwh.law.nju.com.    IN    A    182.185.136.246
njrbfkda.law.nju.com.    IN    A    58.51.129.121
cdrkybmq.law.nju.com.    IN    A    163.49.110.131
ihqnpros.law.nju.com.    IN    A    57.156.246.126
tnluigpc.law.nju.com.    IN    A    69.50.27.69
nwumtydv.law.nju.com.    IN    A    154.226.86.3
loyjnhbc.law.nju.com.    IN    A    43.43.141.22
aibwqjkv.law.nju.com.    IN    A    109.208.235.26
msjvupgx.law.nju.com.    IN    A    165.212.134.66
plesakty.law.nju.com.    IN    A    132.210.168.111
amjvtcsb.law.nju.com.    IN    A    57.126.189.207
cnabduxp.law.nju.com.    IN    A    73.224.197.237
butldyaw.law.nju.com.    IN    A    186.240.34.41
lednwgvx.law.nju.com.    IN    A    103.118.48.59
ayfgmvnx.law.nju.com.    IN    A    81.118.29.12
gylicwdu.law.nju.com.    IN    A    175.114.40.100
fujqlmab.law.nju.com.    IN    A    2.56.137.25
nculvhmo.law.nju.com.    IN    A    127.230.247.3
umfitqkr.law.nju.com.    IN    A    168.119.22.16
mpbqivds.law.nju.com.    IN    A    131.40.109.8
nexfjgru.law.nju.com.    IN    A    117.89.67.175
urytncsf.law.nju.com.    IN    A    48.93.255.243
yjodgspf.law.nju.com.    IN    A    91.81.182.93
funpclgr.law.nju.com.    IN    A    234.175.244.28
ybojftdh.law.nju.com.    IN    A    90.185.164.173
kwsgfrjt.law.nju.com.    IN    A    116.22.115.165
igaeloqb.law.nju.com.    IN    A    18.18.13.8
locdfrjb.law.nju.com.    IN    A    67.243.126.210
rbliojhx.law.nju.com.    IN    A    252.101.61.80
rjxeyqck.law.nju.com.    IN    A    49.249.184.174
sxnofyiv.law.nju.com.    IN    A    147.16.165.206
bmhufeow.law.nju.com.    IN    A    87.42.104.83
ehwxqadp.law.nju.com.    IN    A    166.68.150.208
brkluegf.law.nju.com.    IN    A    54.241.158.17
gfbcpurw.law.nju.com.    IN    A    243.213.211.22
hjyesxik.law.nju.com.    IN    A    199.181.157.71
hbrntpme.law.nju.com.    IN    A    223.211.218.89
vsfjwyob.law.nju.com.    IN    A    52.238.16.169
dayxcrvg.law.nju.com.    IN    A    44.21.200.242
ehslvifm.law.nju.com.    IN    A    36.243.135.162
espoymah.law.nju.com.    IN    A    36.131.84.106
rjlnqdyw.law.nju.com.    IN    A    201.217.21.117
quacgxhp.law.nju.com.    IN    A    11.78.202.189
xqubkwsf.law.nju.com.    IN    A    94.50.161.119
xkeaprqd.law.nju.com.    IN    A    208.92.156.191
tljyuchs.law.nju.com.    IN    A    124.190.11.117
cbfgrseh.law.nju.com.    IN    A    241.9.174.200
jopwvyai.law.nju.com.    IN    A    175.26.199.41
mtdxbrpo.law.nju.com.    IN    A    244.81.221.228
wksuxqfl.law.nju.com.    IN    A    171.151.112.174
ulcpqnkv.law.nju.com.    IN    A    30.6.36.75
vgxwrdco.law.nju.com.    IN    A    130.162.131.73
dtwembrq.law.nju.com.    IN    A    245.40.220.197
vihfrotl.law.nju.com.    IN    A    152.189.143.207
fhawbdlo.law.nju.com.    IN    A    227.102.159.167
rtdlskaw.law.nju.com.    IN    A    74.148.171.3
fbmwunsj.law.nju.com.    IN    A    153.89.5.197
camgstkb.law.nju.com.    IN    A    61.91.36.74
tqkogunm.law.nju.com.    IN    A    54.233.217.32
easmhrql.law.nju.com.    IN    A    179.150.159.87
nhcqxfpj.law.nju.com.    IN    A    145.186.162.215
bnfioyut.law.nju.com.    IN    A    173.109.155.110
wtosdbjc.law.nju.com.    IN    A    148.132.95.159
ultacreh.law.nju.com.    IN    A    36.129.51.35
ugjpeikh.law.nju.com.    IN    A    219.234.32.246
jsqpaxfr.law.nju.com.    IN    A    119.254.94.78
mwrxkolq.law.nju.com.    IN    A    88.27.83.248
dhmyrelc.law.nju.com.    IN    A    63.13.238.245
wblfgvnu.law.nju.com.    IN    A    45.62.172.230
cgmsbvjr.law.nju.com.    IN    A    42.45.130.245
ucegortl.law.nju.com.    IN    A    6.130.226.213
ysvnhugj.law.nju.com.    IN    A    80.59.171.142
jatifcrp.law.nju.com.    IN    A    139.151.249.144
gpaukict.law.nju.com.    IN    A    15.4.168.50
moavfcbk.law.nju.com.    IN    A    25.10.119.32
jbaigwed.law.nju.com.    IN    A    244.253.223.54
mcrbuifp.law.nju.com.    IN    A    157.229.18.47
brlfedhu.law.nju.com.    IN    A    245.112.22.110
smodqjtb.law.nju.com.    IN    A    48.182.157.198
ljstnqab.law.nju.com.    IN    A    131.191.254.24
ucxinefy.law.nju.com.    IN    A    167.105.36.125
nmxdbweo.law.nju.com.    IN    A    68.60.176.60
jsqxmbpy.law.nju.com.    IN    A    118.171.31.158
dpokulbe.law.nju.com.    IN    A    111.103.105.129
cjuxshlw.law.nju.com.    IN    A    207.132.27.48
pcqykoal.law.nju.com.    IN    A    37.58.216.197
frpgebhy.law.nju.com.    IN    A    218.39.221.179
pyhmltwu.law.nju.com.    IN    A    19.160.254.206
capxnsdj.law.nju.com.    IN    A    69.42.113.5
imcpgwlu.law.nju.com.    IN    A    168.6.86.212
whgkuisa.law.nju.com.    IN    A    115.195.53.189
brvxjsyg.law.nju.com.    IN    A    247.75.89.174
hpwbafyi.law.nju.com.    IN    A    186.148.25.132
grxylvie.law.nju.com.    IN    A    33.211.208.251
qcwrtnbu.law.nju.com.    IN    A    116.150.193.101
hqrtxsop.law.nju.com.    IN    A    220.94.99.146
oknqbutg.law.nju.com.    IN    A    70.167.72.100
owujydqt.law.nju.com.    IN    A    123.231.81.162
aprwhjuv.law.nju.com.    IN    A    0.67.161.144
oskqlwfb.law.nju.com.    IN    A    155.18.109.94
abtjkdfy.law.nju.com.    IN    A    170.188.15.179
tabgpsro.law.nju.com.    IN    A    35.5.32.70
hbjirswf.law.nju.com.    IN    A    211.212.103.4
xfmsblrj.law.nju.com.    IN    A    90.161.122.101
eihymnls.law.nju.com.    IN    A    118.215.90.113
tejxkdnp.law.nju.com.    IN    A    220.158.245.69
ejnqambg.law.nju.com.    IN    A    53.198.187.102
wasmevht.law.nju.com.    IN    A    46.160.167.15
afkvcnih.law.nju.com.    IN    A    118.162.152.67
mbfocxqi.law.nju.com.    IN    A    70.118.251.245
avrihxtc.law.nju.com.    IN    A    100.218.206.134
ihcyebqu.law.nju.com.    IN    A    155.136.73.127
ogkrshcw.law.nju.com.    IN    A    104.45.253.145
bhfqydjw.law.nju.com.    IN    A    80.162.161.195
behuogjt.law.nju.com.    IN    A    82.0.154.145
igucoxkp.law.nju.com.    IN    A    37.107.166.208
vcbjtwra.law.nju.com.    IN    A    157.30.12.18
hlgcqtea.law.nju.com.    IN    A    198.81.18.170
hfjoxamk.law.nju.com.    IN    A    220.25.202.125
lqgjpwoc.law.nju.com.    IN    A    162.50.17.101
jslwnret.law.nju.com.    IN    A    85.244.21.20
cnxbgrqo.law.nju.com.    IN    A    4.224.188.142
xaovfhys.law.nju.com.    IN    A    91.41.238.168
ltihyxsu.law.nju.com.    IN    A    231.225.161.218
xunlteys.law.nju.com.    IN    A    88.207.171.161
faxpstuw.law.nju.com.    IN    A    141.184.220.133
jyqtbhsv.law.nju.com.    IN    A    224.85.135.50
tixevfmc.law.nju.com.    IN    A    221.131.159.251
yieunvcb.law.nju.com.    IN    A    127.123.200.113
phudwgti.law.nju.com.    IN    A    46.107.137.116
ngawjqit.law.nju.com.    IN    A    134.53.6.96
ahxvyfpk.law.nju.com.    IN    A    198.9.219.16
xuywvahf.law.nju.com.    IN    A    164.195.74.245
rycugmek.law.nju.com.    IN    A    58.222.100.109
invcdxuy.law.nju.com.    IN    A    140.36.111.80
eyumvdhp.law.nju.com.    IN    A    137.24.43.42
mhatobrn.law.nju.com.    IN    A    61.122.32.51
vsbiwpna.law.nju.com.    IN    A    212.211.41.102
wiprjdgm.law.nju.com.    IN    A    177.227.199.5
lgnqwmdp.law.nju.com.    IN    A    195.7.226.159
gjqrcbes.law.nju.com.    IN    A    224.229.3.129
mpsbwrty.law.nju.com.    IN    A    210.178.207.192
mxeaokls.law.nju.com.    IN    A    60.114.29.70
cdqtmuny.law.nju.com.    IN    A    75.68.139.68
mxtclqiy.law.nju.com.    IN    A    108.77.66.94
gkjaptem.law.nju.com.    IN    A    2.47.54.208
jwuofihr.law.nju.com.    IN    A    182.88.3.91
rcgyuhjt.law.nju.com.    IN    A    208.200.164.216
mnbxqfdu.law.nju.com.    IN    A    225.151.34.133
exwaqyop.law.nju.com.    IN    A    237.154.84.113
vflapejt.law.nju.com.    IN    A    71.157.167.85
vruyqwsk.law.nju.com.    IN    A    93.51.203.15
gcyqwxdt.law.nju.com.    IN    A    134.91.246.83
ioahfbnk.law.nju.com.    IN    A    10.110.103.156
awodqmli.law.nju.com.    IN    A    171.21.21.140
mlqbagxc.law.nju.com.    IN    A    118.157.242.246
gevdbtcf.law.nju.com.    IN    A    104.94.62.134
qgxrufds.law.nju.com.    IN    A    166.51.119.213
vrcxjnbp.law.nju.com.    IN    A    32.120.108.47
vhudfjwy.law.nju.com.    IN    A    39.124.76.219
vbkgjelp.law.nju.com.    IN    A    71.62.101.67
fswvleyt.law.nju.com.    IN    A    211.181.139.180
ikxvahom.law.nju.com.    IN    A    127.71.46.228
coarqhxm.law.nju.com.    IN    A    251.133.251.185
xbjlerwc.law.nju.com.    IN    A    230.105.62.116
helftkbs.law.nju.com.    IN    A    40.156.116.39
ksnjyufc.law.nju.com.    IN    A    26.43.25.141
rdltgpsm.law.nju.com.    IN    A    219.71.108.82
ramhgfvc.law.nju.com.    IN    A    217.189.101.52
trihvypw.law.nju.com.    IN    A    220.53.99.47
tahqjcly.law.nju.com.    IN    A    119.43.213.192
wbgctepm.law.nju.com.    IN    A    127.105.12.222
gjlnetds.law.nju.com.    IN    A    231.218.187.78
cogfsnmk.law.nju.com.    IN    A    210.86.167.175
tegvhykd.law.nju.com.    IN    A    204.112.249.132
mnrjghkb.law.nju.com.    IN    A    207.194.42.16
ktyqshpb.law.nju.com.    IN    A    69.159.219.122
hmtejcgx.law.nju.com.    IN    A    73.97.148.121
pbtsxmhr.law.nju.com.    IN    A    204.32.66.78
vlbopuha.law.nju.com.    IN    A    249.248.191.29
arebmtov.law.nju.com.    IN    A    144.115.112.107
rshilwct.law.nju.com.    IN    A    131.180.161.101
pyfmetix.law.nju.com.    IN    A    176.159.63.74
brtjcovh.law.nju.com.    IN    A    51.234.97.251
jtkulbiw.law.nju.com.    IN    A    137.230.187.122
cygnsvof.law.nju.com.    IN    A    98.220.53.58
tliekxhy.law.nju.com.    IN    A    35.129.33.32
kdefwslj.law.nju.com.    IN    A    137.147.11.115
ewnlqtoy.law.nju.com.    IN    A    160.17.177.249
ofbuqtdn.law.nju.com.    IN    A    197.96.218.136
luojycmr.law.nju.com.    IN    A    149.195.216.106
foklwamn.law.nju.com.    IN    A    71.246.61.60
nrwpsjlc.law.nju.com.    IN    A    88.82.219.169
vjxrahie.law.nju.com.    IN    A    70.110.3.48
dlgfkcvp.law.nju.com.    IN    A    98.202.141.120
grhjuvti.law.nju.com.    IN    A    164.196.17.63
rnovxyue.law.nju.com.    IN    A    178.133.172.6
nvsdfwky.law.nju.com.    IN    A    178.181.88.10
bmsrqfyn.law.nju.com.    IN    A    11.239.66.18
dqewyxhp.law.nju.com.    IN    A    106.161.243.109
unvekpsb.law.nju.com.    IN    A    181.208.252.181
qnousprc.law.nju.com.    IN    A    171.85.212.83
roqibefa.law.nju.com.    IN    A    140.230.28.12
sbxjnkmy.law.nju.com.    IN    A    105.92.101.135
flmokeuw.law.nju.com.    IN    A    202.38.225.64
ucojgvwq.law.nju.com.    IN    A    195.122.245.170
ueoqrxka.law.nju.com.    IN    A    154.92.246.171
vaiertqo.law.nju.com.    IN    A    100.164.28.230
lwjqhivs.law.nju.com.    IN    A    210.231.21.253
bwxmjndp.law.nju.com.    IN    A    40.136.125.201
dcvatixm.law.nju.com.    IN    A    33.142.105.138
jofhxgyb.law.nju.com.    IN    A    239.83.121.114
fbxotyum.law.nju.com.    IN    A    104.80.193.59
qaemsxco.law.nju.com.    IN    A    229.30.200.108
xvdoafth.law.nju.com.    IN    A    62.163.114.207
rksewglj.law.nju.com.    IN    A    197.90.165.158
rvlqgmsw.law.nju.com.    IN    A    93.90.85.207
gqpwncfe.law.nju.com.    IN    A    24.17.81.60
juxvsqpc.law.nju.com.    IN    A    68.140.85.21
hqcflovk.law.nju.com.    IN    A    236.80.21.132
enmxqdfb.law.nju.com.    IN    A    189.42.224.206
xjiepckl.law.nju.com.    IN    A    156.140.207.251
jamecirg.law.nju.com.    IN    A    166.249.135.100
wkqdioap.law.nju.com.    IN    A    111.243.9.210
eryhifsw.law.nju.com.    IN    A    215.44.221.143
apxivmeb.law.nju.com.    IN    A    42.115.136.38
weqxtjdf.law.nju.com.    IN    A    33.250.184.182
clpjxwty.law.nju.com.    IN    A    141.202.187.102
lefutnmb.law.nju.com.    IN    A    131.93.6.23
fhagnjyb.law.nju.com.    IN    A    128.6.199.161
iwaufmyq.law.nju.com.    IN    A    77.144.202.179
wgxhksib.law.nju.com.    IN    A    222.61.48.125
hysqbkdu.law.nju.com.    IN    A    211.89.170.79
ybgxutsk.law.nju.com.    IN    A    249.148.1.242
nucwfpmq.law.nju.com.    IN    A    27.10.146.47
brxqegnk.law.nju.com.    IN    A    98.101.253.106
fxhdbmqn.law.nju.com.    IN    A    120.178.193.217
fwhqusiv.law.nju.com.    IN    A    233.127.238.52
vutfjgon.law.nju.com.    IN    A    23.170.236.142
dwbnteyl.law.nju.com.    IN    A    117.92.19.125
hsvoynuc.law.nju.com.    IN    A    108.9.91.16
wqisvflj.law.nju.com.    IN    A    129.37.68.141
mfdhvrkx.law.nju.com.    IN    A    213.82.157.140
kxwnlmip.law.nju.com.    IN    A    194.50.13.162
cxolehvr.law.nju.com.    IN    A    53.14.206.3
dhyflaxe.law.nju.com.    IN    A    204.21.23.83
enrbsxfa.law.nju.com.    IN    A    66.4.158.124
kfjshlue.law.nju.com.    IN    A    165.79.68.126
olhsqjuw.law.nju.com.    IN    A    77.38.66.209
qdjnpxmr.law.nju.com.    IN    A    25.111.146.7
fpuhtkny.law.nju.com.    IN    A    209.184.13.181
tidewvfm.law.nju.com.    IN    A    131.103.40.210
ewxbmfqn.law.nju.com.    IN    A    82.252.168.205
vjhuyqci.law.nju.com.    IN    A    85.111.255.14
xquclpfe.law.nju.com.    IN    A    218.38.166.135
yfsvnhtw.law.nju.com.    IN    A    122.237.87.53
uyhdsncx.law.nju.com.    IN    A    143.187.88.89
jdxwcrvm.law.nju.com.    IN    A    212.109.49.81
afrlsvjq.law.nju.com.    IN    A    139.203.156.154
gspvinfe.law.nju.com.    IN    A    236.172.233.211
hobwymvq.law.nju.com.    IN    A    111.100.140.175
pgefasrh.law.nju.com.    IN    A    180.169.167.179
avmntdjk.law.nju.com.    IN    A    65.55.160.57
cohknpwr.law.nju.com.    IN    A    87.49.220.65
tsalehfi.law.nju.com.    IN    A    68.195.88.102
iyamsfup.law.nju.com.    IN    A    123.244.216.52
liucbtde.law.nju.com.    IN    A    128.165.161.190
kycovahb.law.nju.com.    IN    A    83.37.186.143
tnpfwgdb.law.nju.com.    IN    A    174.35.214.152
yhuntivj.law.nju.com.    IN    A    112.127.141.107
dhbgxujf.law.nju.com.    IN    A    27.178.205.40
mljrcbde.law.nju.com.    IN    A    222.126.232.193
jraeduik.law.nju.com.    IN    A    181.108.136.99
rcimakbh.law.nju.com.    IN    A    82.211.50.66
vqdwjbke.law.nju.com.    IN    A    62.41.159.233
nqfvgmjo.law.nju.com.    IN    A    221.252.22.222
cstxwahf.law.nju.com.    IN    A    226.89.221.144
eynrbuwl.law.nju.com.    IN    A    188.139.207.118
ritysduk.law.nju.com.    IN    A    175.176.186.216
iouqxhvw.law.nju.com.    IN    A    77.61.199.138
kwsxqvhm.law.nju.com.    IN    A    4.56.235.16
socqebhp.law.nju.com.    IN    A    38.85.119.126
xowhtlmv.law.nju.com.    IN    A    109.125.222.223
iumtnchl.law.nju.com.    IN    A    238.70.67.68
ixhsjpdk.law.nju.com.    IN    A    179.187.237.67
onfhtgjk.law.nju.com.    IN    A    26.206.82.80
qtuvopgf.law.nju.com.    IN    A    108.209.45.213
kjbuiwnm.law.nju.com.    IN    A    126.77.83.230
plmcvyjb.law.nju.com.    IN    A    205.162.226.19
skocynul.law.nju.com.    IN    A    205.195.85.228
etcwmhas.law.nju.com.    IN    A    209.102.205.193
grlwhvxy.law.nju.com.    IN    A    0.180.110.38
qhtepnlg.law.nju.com.    IN    A    77.209.30.129
tmuyinqf.law.nju.com.    IN    A    163.91.32.7
grqxnlwo.law.nju.com.    IN    A    57.207.159.119
ocdkuhsw.law.nju.com.    IN    A    234.143.242.93
jgofkuwh.law.nju.com.    IN    A    41.66.19.47
ybiwrnfe.law.nju.com.    IN    A    67.235.216.31
xsjdwcih.law.nju.com.    IN    A    224.189.4.214
fmpyenug.law.nju.com.    IN    A    62.96.206.45
wjfieauv.law.nju.com.    IN    A    200.176.250.55
hjqkvesc.law.nju.com.    IN    A    209.171.78.241
owdyrkcm.law.nju.com.    IN    A    2.33.162.135
oxehtkjf.law.nju.com.    IN    A    242.223.183.90
okuglnqy.law.nju.com.    IN    A    73.248.104.155
fqnglvem.law.nju.com.    IN    A    72.145.24.141
wqjmgtas.law.nju.com.    IN    A    78.97.144.74
jugpqlcm.law.nju.com.    IN    A    252.36.64.143
lqohxgeb.law.nju.com.    IN    A    159.55.252.71
puorlhds.law.nju.com.    IN    A    216.29.11.209
ghyrlxtq.law.nju.com.    IN    A    175.83.188.188
fxhwkjnb.law.nju.com.    IN    A    214.28.67.15
eoufkdmq.law.nju.com.    IN    A    152.119.180.124
dkbmoclt.law.nju.com.    IN    A    229.252.124.102
mpkhrwox.law.nju.com.    IN    A    93.243.121.74
kvxemaln.law.nju.com.    IN    A    195.235.95.20
lebjrgya.law.nju.com.    IN    A    122.53.189.80
hnufqlga.law.nju.com.    IN    A    230.34.34.34
fcibandy.law.nju.com.    IN    A    120.99.81.59
wygriqdp.law.nju.com.    IN    A    70.113.233.172
dtvpncul.law.nju.com.    IN    A    55.233.193.163
inqmcrbx.law.nju.com.    IN    A    55.213.156.32
icfktawo.law.nju.com.    IN    A    14.217.76.212
kbdxsvrm.law.nju.com.    IN    A    163.112.33.233
rxqdjtba.law.nju.com.    IN    A    137.193.35.54
lnrfbshg.law.nju.com.    IN    A    30.19.44.141
hnykstba.law.nju.com.    IN    A    182.88.166.12
dbpxsfva.law.nju.com.    IN    A    109.50.221.216
jsmnlyfb.law.nju.com.    IN    A    191.197.37.159
yfrcnhst.law.nju.com.    IN    A    14.84.34.2
dykpshcb.law.nju.com.    IN    A    119.6.97.158
rispqhgl.law.nju.com.    IN    A    2.232.29.223
oxklpcyv.law.nju.com.    IN    A    204.70.189.132
tovfrwmj.law.nju.com.    IN    A    227.127.251.81
fxbwknys.law.nju.com.    IN    A    10.13.173.52
aedrjxgm.law.nju.com.    IN    A    40.72.222.219
htbxckam.law.nju.com.    IN    A    241.30.245.121
pasmybcg.law.nju.com.    IN    A    186.58.64.164
sfwinuro.law.nju.com.    IN    A    17.228.170.3
cjkodqbs.law.nju.com.    IN    A    47.146.60.93
rulopwem.law.nju.com.    IN    A    63.21.71.95
uejvhnyr.law.nju.com.    IN    A    157.120.222.22
lbxpktgs.law.nju.com.    IN    A    125.175.83.192
mqlyjxgu.law.nju.com.    IN    A    187.245.32.222
gsbhomcq.law.nju.com.    IN    A    250.46.73.166
gxapwcqo.law.nju.com.    IN    A    180.195.14.204
srbhcqyi.law.nju.com.    IN    A    116.240.254.49
mojfwcgx.law.nju.com.    IN    A    128.154.97.111
dpkfsonc.law.nju.com.    IN    A    28.175.219.191
ueywdjtv.law.nju.com.    IN    A    70.216.136.158
biqjlhfa.law.nju.com.    IN    A    77.82.123.224
gdphfyub.law.nju.com.    IN    A    23.40.16.137
ofcnaewq.law.nju.com.    IN    A    115.225.58.182
uxiahjwb.law.nju.com.    IN    A    111.8.163.204
orjmngdy.law.nju.com.    IN    A    229.141.72.114
lxbqnswv.law.nju.com.    IN    A    17.67.96.189
bqfvtrme.law.nju.com.    IN    A    218.90.69.173
pgwicjsx.law.nju.com.    IN    A    185.77.94.160
ovwxntyp.law.nju.com.    IN    A    240.242.137.153
xosnachy.law.nju.com.    IN    A    60.88.24.117
unlgvyif.law.nju.com.    IN    A    246.67.143.130
nmkbqrul.law.nju.com.    IN    A    117.143.75.52
myvijahn.law.nju.com.    IN    A    168.209.127.223
weskajcf.law.nju.com.    IN    A    159.167.70.110
favqxrsb.law.nju.com.    IN    A    13.82.7.123
ouynqmex.law.nju.com.    IN    A    183.49.156.74
ibvncswe.law.nju.com.    IN    A    54.71.74.43
pthjwiqv.law.nju.com.    IN    A    241.132.130.227
bmoghare.law.nju.com.    IN    A    155.211.215.114
tafxrdyh.law.nju.com.    IN    A    5.29.105.116
madisvrx.law.nju.com.    IN    A    235.153.29.2
rcqtkany.law.nju.com.    IN    A    212.144.145.109
eycaoblu.law.nju.com.    IN    A    11.157.25.147
deuyhonr.law.nju.com.    IN    A    139.138.64.180
hevykbpd.law.nju.com.    IN    A    237.13.180.163
cmwvusbd.law.nju.com.    IN    A    61.28.12.147
buomlyce.law.nju.com.    IN    A    140.117.76.223
menrqyhf.law.nju.com.    IN    A    52.216.128.42
vxjrpngh.law.nju.com.    IN    A    246.239.72.25
btlcpfqd.law.nju.com.    IN    A    173.126.163.21
flockntr.law.nju.com.    IN    A    6.27.166.61
jyuvikpw.law.nju.com.    IN    A    44.10.76.63
qejflnxm.law.nju.com.    IN    A    47.4.124.45
kodeqxjw.law.nju.com.    IN    A    232.1.212.188
jovshpec.law.nju.com.    IN    A    62.101.65.118
hvgjobif.law.nju.com.    IN    A    36.130.142.53
ifudjmlo.law.nju.com.    IN    A    193.35.90.244
olgctbxq.law.nju.com.    IN    A    51.121.176.194
hfkeysdo.law.nju.com.    IN    A    121.165.68.86
qsfomrjc.law.nju.com.    IN    A    191.192.103.156
twagsknd.law.nju.com.    IN    A    79.67.102.67
ymhkrdox.law.nju.com.    IN    A    204.114.42.242
qxfcraou.law.nju.com.    IN    A    81.8.69.204
knfbmiwv.law.nju.com.    IN    A    157.38.110.132
xsdawoqr.law.nju.com.    IN    A    239.226.232.60
qjikolvc.law.nju.com.    IN    A    155.143.191.134
swhideac.law.nju.com.    IN    A    148.15.193.202
bmwhrufg.law.nju.com.    IN    A    95.217.9.76
srjupgnf.law.nju.com.    IN    A    99.203.3.241
tynpsewv.law.nju.com.    IN    A    54.169.126.142
xolcpbaw.law.nju.com.    IN    A    109.21.13.190
ytwqgabc.law.nju.com.    IN    A    195.190.119.142
yfjqstix.law.nju.com.    IN    A    96.73.130.35
yemtqspl.law.nju.com.    IN    A    33.99.128.94
yoiretfd.law.nju.com.    IN    A    169.115.38.249
vyjbipch.law.nju.com.    IN    A    246.35.226.32
viqgkeao.law.nju.com.    IN    A    49.149.227.82
axtwngjk.law.nju.com.    IN    A    150.227.238.117
owmivfua.law.nju.com.    IN    A    203.107.206.47
oneruiwk.law.nju.com.    IN    A    109.165.90.103
srqdoyje.law.nju.com.    IN    A    67.248.96.219
nkhbpdjy.law.nju.com.    IN    A    235.76.97.157
hdjoiuvx.law.nju.com.    IN    A    147.205.164.106
masexcyq.law.nju.com.    IN    A    247.204.193.245
xgpbdklo.law.nju.com.    IN    A    0.196.189.117
cmygdvwi.law.nju.com.    IN    A    142.146.147.215
sygjvcni.law.nju.com.    IN    A    3.185.217.231
qdgshjip.law.nju.com.    IN    A    54.154.42.249
eowthads.law.nju.com.    IN    A    207.0.130.22
ylhifweg.law.nju.com.    IN    A    40.198.27.21
mbkjucox.law.nju.com.    IN    A    82.58.45.210
doefasgi.law.nju.com.    IN    A    224.249.213.205
pfrbnvme.law.nju.com.    IN    A    183.103.90.102
wvesocli.law.nju.com.    IN    A    2.20.53.104
ovimulqy.law.nju.com.    IN    A    155.99.77.68
buovnftc.law.nju.com.    IN    A    101.161.101.35
twdyqsog.law.nju.com.    IN    A    1.77.172.104
ftgowbna.law.nju.com.    IN    A    139.96.225.187
ctjklupw.law.nju.com.    IN    A    156.59.204.61
oisfbylj.law.nju.com.    IN    A    150.205.160.34
fqeclumg.law.nju.com.    IN    A    188.38.126.53
nmycuqbr.law.nju.com.    IN    A    188.143.220.223
liaxpwbu.law.nju.com.    IN    A    189.147.67.98
uxjpwsbq.law.nju.com.    IN    A    163.37.111.223
iubglerv.law.nju.com.    IN    A    156.141.213.186
djpqroni.law.nju.com.    IN    A    173.51.17.216
vrpaofqm.law.nju.com.    IN    A    56.229.160.237
pdltyure.law.nju.com.    IN    A    35.88.172.178
orwxigty.law.nju.com.    IN    A    52.90.167.155
vuadjpsi.law.nju.com.    IN    A    75.166.11.102
hcpawyjl.law.nju.com.    IN    A    215.189.94.248
pvdekhxt.law.nju.com.    IN    A    47.93.90.90
bekwfspq.law.nju.com.    IN    A    90.171.51.116
qjvupnts.law.nju.com.    IN    A    254.90.36.200
udgvwebk.law.nju.com.    IN    A    252.14.49.216
exgctsdm.law.nju.com.    IN    A    60.165.173.139
koyxwhap.law.nju.com.    IN    A    157.182.127.196
lkoyftiu.law.nju.com.    IN    A    188.230.211.239
biydtuar.law.nju.com.    IN    A    51.192.184.212
xgwtnvhu.law.nju.com.    IN    A    41.143.0.239
oumaxntl.law.nju.com.    IN    A    171.7.5.77
pshajykf.law.nju.com.    IN    A    222.84.152.252
eliopsub.law.nju.com.    IN    A    163.181.181.113
ifyubdrx.law.nju.com.    IN    A    6.15.189.155
kwscmjan.law.nju.com.    IN    A    167.48.234.174
yfntkdxw.law.nju.com.    IN    A    212.153.228.12
pdafiyxe.law.nju.com.    IN    A    198.108.95.183
lmpjuowg.law.nju.com.    IN    A    165.14.118.173
pxshvjig.law.nju.com.    IN    A    76.137.152.218
nifasqbp.law.nju.com.    IN    A    87.59.73.18
yigmekan.law.nju.com.    IN    A    186.195.77.122
yxmbghot.law.nju.com.    IN    A    49.152.230.197
fqlptnbw.law.nju.com.    IN    A    228.238.7.104
xwysfpim.law.nju.com.    IN    A    196.212.162.246
aioefhrn.law.nju.com.    IN    A    38.23.99.33
cqdxyrnw.law.nju.com.    IN    A    25.114.190.254
